;cnpj_cia;cd_cvm;denom_social;denom_comerc;dt_const;setor_ativ;sit_emissor;controle_acionario;logradouro;compl;bairro;mun;uf;cep;auditor;descricao;site;ticker;ibov
347;33.041.260/0652-90;6505;GRUPO CASAS BAHIA S.A.;PONTO FRIO;1946-07-12;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Avenida Rebouças, 3970;28 andar;Pinheiros;SÃO PAULO;SP;5402918.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;https://ri.grupocasasbahia.com.br;['BHIA3'];True
348;10.285.590/0001-08;25011;GRUPO DE MODA SOMA S.A.;RBX RIO COMÉRCIO DE ROUPAS S.A.;2008-08-15;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Avenida Pasteur, nº 154;;Botafogo;RIO DE JANEIRO;RJ;22290240.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;(i) a confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida e (ii) o comércio varejista de artigos de vestuário e acessórios de qualquer material.;http://www.somagrupo.com.br/ri;['SOMA3'];True
350;24.990.777/0001-09;25186;GRUPO MATEUS S.A.;;2016-05-02;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO HOLDING;Avenida Daniel de La Touche, nº 73;Loja 03;Cohama;SÃO LUÍS;MA;65074115.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Holdings de instituições não financeiras, participação no capital de outras sociedades, na condição de acionista, sócia ou quotista, em caráter permanente ou temporário, como controladora ou coligada.;https://ri.grupomateus.com.br/;['GMAT3'];True
351;59.717.553/0001-02;26034;GRUPO MULTI S.A.;GRUPO MULTI S.A.;1988-11-21;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Avenida Brigadeiro Faria Lima, nº 1811;15º andar;Jardim América;SÃO PAULO;SP;1452000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Fabricação de periféricos para equipamentos de informática;www.multilaser.com.br / www.ri.multilaser.com.br;['MLAS3'];False
352;13.217.485/0001-11;24694;GRUPO SBF S.A.;GRUPO SBF S.A.;2011-01-31;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO HOLDING;Avenida Doutora Ruth Cardoso, Edifício Birmann, nº 7.221;3º andar  sala Paris;Pinheiros;SÃO PAULO;SP;5425902.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;A Companhia tem por objeto social (a) administração de bens próprios e, (b) a participação, como sócia ou acionista, em outras empresas.;https://ri.gruposbf.com.br/;['SBFG3'];False
354;08.402.943/0001-52;4669;GUARARAPES CONFECÇÕES SA;GUARARAPES CONFECÇÕES;1956-10-06;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Rodovia BR 101 Norte, nº 9.000, Anexo Guararapes Confecções;;N. Sra. Apresentação;NATAL;RN;59115900.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Confecções de roupas e tecidos em geral.;www.riachuelo.com.br/ri;['GUAR3'];False
356;05.197.443/0001-38;24392;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;2001-08-30;Serviços Médicos;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Heráclito Graça;nº 406;Centro;FORTALEZA;CE;60140060.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Participação, como sócia ou acionista, em outras empresas, predominantemente de assistência médica, bem como a realização de investimentos diretos e a exploração de atividades de prestação de serviços;https://www.hapvida.com.br;['HAPV3'];False
358;14.785.152/0001-51;25402;HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.;;2011-12-02;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida Vereador Narciso Yague Guimarães, 1.145;2º andar;Jardim Armênia;MOGI DAS CRUZES;SP;8780500.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Deter patrimônio constituído por bens imóveis e direitos a eles relativos administrar bens imóveis próprios e de terceiros e participar, como sócia ou acionista, em outras sociedades.;http://ri.hbrrealty.com.br/;['HBRE3'];False
359;49.263.189/0001-02;20877;HELBOR EMPREENDIMENTOS S/A;HELBOR;1977-01-01;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;AV. VEREADOR NARCISO YAGUE GUIMARÃES, Nº 1145;15º ANDAR;JARDIM ARMÊNIA;MOGI DAS CRUZES;SP;8780500.0;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.;Incorporação de Imoveis;http://www.helbor.com.br;['HBOR3'];False
361;92.749.225/0001-63;6629;HERCULES S/A - FABRICA DE TALHERES;HERCULES S/A;1936-01-01;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rua do Paraíso, 148 - 14º andar, conjunto 141;;Paraíso;SÃO PAULO;SP;4103000.0;TATICCA AUDITORES INDEPENDENTES S.S. - EPP;Fabricação e a comercialização de toda a espécie de talheres e outros artigos de mesa para uso doméstico, artigos de adorno, beleza, higiene, móveis, material escolar, de escritório e profissional.;http://www.hercules.ind.br;['HETA3', 'HETA4'];False
362;12.648.327/0001-53;22675;HIDROVIAS DO BRASIL S.A.;HIDROVIAS DO BRASIL S.A.;2010-08-18;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Rua Fradique Coutinho, nº 30;7º andar;Pinheiros;SÃO PAULO;SP;5416000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Operador de logística hidroviária para clientes de commodities agrícolas, minerais, combustíveis e derivados e carga, integrando o transporte por barcaças com operação de terminais de origem e destino;www.hbsa.com.br;['HBSA3'];False
363;40.159.947/0001-64;25674;HMOBI PARTICIPAÇÕES S.A;HMOBI PARTICIPAÇÕES S.A;2020-12-08;Sem Setor Principal;FASE PRÉ-OPERACIONAL;PRIVADO HOLDING;Avenida Presidente Vargas;nº 2000;Centro;RIO DE JANEIRO;RJ;20210031.0;KPMG AUDITORES INDEPENDENTES LTDA.;A Companhia tem como objeto social a participação em outras sociedades, como quotista ou acionista, no país ou no exterior.;https://ri.hmobi-sa.com.br/;['HMOB3'];False
367;16.676.520/0001-59;25690;HOSPITAL MATER DEI S.A.;HOSPITAL MATER DEI S.A.;1973-10-15;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Rua Mato Grosso;nº 1100;Santo Agostinho;BELO HORIZONTE;MG;30190081.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;www.materdei.com.br;['MATD3'];False
368;33.200.049/0001-47;6700;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;HOTEIS OTHON S.A.;1943-04-28;Hospedagem e Turismo;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Av Nossa Senhora de Copacabana - Nº 995;2º andar (parte);Copacabana;RIO DE JANEIRO;RJ;22060001.0;MANDARINO & ASSOCIADOS AUDITORES;Prestação de Serviços na Indústria Hoteleira;www.ciahoteisothon.com.br;['HOOT4'];False
369;18.483.666/0001-03;25933;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A;HUMBERG AGRIBRASIL COMÉRCIO E EXPORTAÇÃO DE GRÃOS S.A;2013-07-15;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;RUA JOAQUIM FLORIANO, 960;3º ANDAR;ITAIM BIBI;SÃO PAULO;SP;4534013.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Venda, compra, revenda e distribuição de produtos in natura de origem vegetal (cereais e grãos), a granel ou em contêineres, no/para o mercado interno e externo.;www.agribrasil.net;['GRAO3'];False
370;02.932.074/0001-91;21431;HYPERA S/A;HYPERA PHARMA S/A;2002-01-01;Farmacêutico e Higiene;FASE OPERACIONAL;PRIVADO;Rua Nova Cidade, 404;Não tem;Vila Olimpia;SÃO PAULO;SP;4547070.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Fabricacão de Medicamentos Alopáticos para uso humano;www.hypera.com.br/ri;['HYPE3'];False
374;51.218.147/0001-93;20494;IGUATEMI EMPRESA DE SHOPPING CENTERS S/A;IGUATEMI EMPRESA DE SHOPPING CENTERS S/A;1979-05-23;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rua Angelina Maffei Vita, 200;9º andar;Jardim Paulistano;SÃO PAULO;SP;1455070.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Empresa full service no setor de shopping centers. Suas atividades englobam a concepção, oplanejamento, o desenvolvimento e a administração de shopping centers regionais e complexosimobiliários.;www.ri.iguatemi.com.br;['IGTA3'];False
375;60.543.816/0001-93;8672;IGUATEMI S.A.;IGUATEMI S.A.;1946-01-24;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO HOLDING;Rua Angelina Maffei Vita;200 9º andar;Jardim Paulistano;SÃO PAULO;SP;1455070.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Exploração comercial, adminstração e planejamento de shopping centers (Conforme Artigo 3o. do Estatuto Social);www.ri.iguatemi.com.br;['IGTI3', 'IGTI11', 'IGTI4'];True
377;09.611.768/0001-76;24279;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2008-06-03;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;R ATALIBA DE BARROS, Nº 182;SALA 1504;SÃO MATEUS;JUIZ DE FORA;MG;36025275.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Incorporação de empreendimentos imobiliários e construção de edifícios;www.meuinc.com.br;['INNC3'];False
379;76.627.504/0001-06;7595;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;INEPAR S/A;1968-05-01;Máquinas, Equipamentos, Veículos e Peças;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Alameda Dr. Carlos de Carvalho nº 373;Cjto. 1101 11º andar;Centro;CURITIBA;PR;80410180.0;MÜLLER & PREI AUDITORES INDEPENDENTES S/S;Fabricação de equipamentos e sistemas elétricos , fabricação de torres e acessórios para transmissão de energia e telecomunicações, fabricação de bens de capital e sitemas industriais sob encomenda,;www.inepar.com.br;['INEP3'];False
380;38.456.921/0001-36;25747;INFRACOMMERCE CXAAS S.A.;INFRACOMMERCE CXAAS S.A.;2020-09-15;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Av das Nações Unidas, 12.901, 32º andar, Sala G, Torre Norte;CENU;Cidade Monções;SÃO PAULO;SP;4578910.0;KPMG AUDITORES INDEPENDENTES LTDA.;"Soluções digitais integradas a partir de um ""white-label digital ecosystem"" para clientes liderarem suas jornadas de digitalização no go-to-market, levando uma experiência excepcional ao consumidor.";https://ri.infracommerce.com.br/;['IFCM3'];False
383;82.901.000/0001-27;25453;INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA;INTELBRAS S.A.;1974-01-11;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Rodovia BR 101;Km 210;Área Industrial;SÃO JOSÉ;SC;88104800.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;A Companhia tem como atividade principal a exploração da indústria de eletrônicos.;https://ri.intelbras.com.br/;['INTB3'];False
385;17.314.329/0001-20;23574;INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.;INTERNATIONAL MEAL COMAPANY ALIMENTAÇÃO S.A.;1965-01-02;Alimentos;FASE OPERACIONAL;PRIVADO;Avenida Doutora Ruth Cardoso, 4777, 12º andar;conjunto A;Jd Univ. Pinheiros;SÃO PAULO;SP;5477902.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Setor de Varejo de Alimentação;http://ri.internationalmealcompany.com/;['MEAL3'];False
388;01.548.981/0001-79;6041;INVESTIMENTOS BEMGE S.A.;INVESTIMENTOS BEMGE;1964-06-30;Bancos;FASE OPERACIONAL;PRIVADO;Praça Alfredo Egydio de Souza Aranha, 100, Torre Conceição;7º andar;Parque Jabaquara;SÃO PAULO;SP;4344902.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Investimentos;www.itau.com.br/relacoes-com-investidores/informacoes-financeiras/investimentos-bemge;['FIGE3', 'FIGE4'];False
389;03.758.318/0001-24;18775;INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR;INVEPAR;2000-03-01;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Praia de Botafogo, nº 501;Loja H;Botafogo;RIO DE JANEIRO;RJ;22250911.0;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA.;Foi constituída sob a forma de sociedade anônima e tem como objeto social a participação em outras sociedades.;https://ri.invepar.com.br;['IVPR3', 'IVPR4'];False
390;61.156.113/0001-75;11932;IOCHPE MAXION SA;IOCHPE-MAXION;1940-05-28;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Rua Othon Barcellos, nº 83;;Itagaçaba;CRUZEIRO;SP;12730900.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Fabricação e comercialização de produtos do setor automotivo e equipamentos ferroviários.;www.iochpe.com.br;['MYPK3'];False
391;92.791.243/0001-03;2429;IRANI PAPEL E EMBALAGEM S.A.;IRANI PAPEL E EMBALAGEM S.A.;1941-06-06;Embalagens;FASE OPERACIONAL;PRIVADO;Avenida Carlos  Gomes,nº400, Edifício João Benjamin Zaffari;salas 502/503;Boa Vista;PORTO ALEGRE;RS;90480900.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Fabricação de papel para embalagem, embalagens de papelão ondulado e resinas.;www.irani.com.br;['RANI3'];False
392;33.376.989/0001-91;24180;IRB - BRASIL RESSEGUROS S.A.;;1939-04-03;Seguradoras e Corretoras;FASE OPERACIONAL;PRIVADO;Av. República do Chile, n° 330, Torre Leste, 3°e 4° andares;;Centro;RIO DE JANEIRO;RJ;20031170.0;KPMG AUDITORES INDEPENDENTES LTDA.;Operações de resseguro e retrocessão;http://ri.irbre.com;['IRBR3'];True
394;60.872.504/0001-23;19348;ITAÚ UNIBANCO HOLDING S.A.;ITAÚ UNIBANCO;1943-01-01;Bancos;FASE OPERACIONAL;PRIVADO;Praça Alfredo Egydio de Souza Aranha, 100, T. Olavo Setubal;Piso Itaú Unibanco;Parque Jabaquara;SÃO PAULO;SP;4344902.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;A sociedade tem por objeto a atividade bancária em todas as modalidades autorizadas, inclusive a de operações de câmbio.;www.itau.com.br/relacoes-com-investidores;['ITUB3', 'ITUB4'];True
395;61.532.644/0001-15;7617;ITAUSA S.A.;ITAÚSA;1966-05-06;Intermediação Financeira;FASE OPERACIONAL;PRIVADO;Avenida Paulista, 1938;5º andar;Bela Vista;SÃO PAULO;SP;1310200.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Gestão de Participações Societárias (Holding);www.itausa.com.br;['ITSA3', 'ITSA4'];True
397;02.635.522/0001-95;25496;JALLES MACHADO S.A.;JALLES MACHADO S.A;1980-11-28;Agricultura (Açúcar, Álcool e Cana);FASE OPERACIONAL;PRIVADO;Rodovia GO 080, km 185;Fazenda S. Pedro s/n;Zona Rural;GOIANÉSIA;GO;76388899.0;KPMG AUDITORES INDEPENDENTES LTDA.;Exploração agrícola industrial e comercial em todas as suas modalidades, especialmente no que diz respeito à produção de cana-de-açúcar, seus subprodutos, em especial do açúcar e do álcool.;ri.jalles.com;['JALL3'];False
398;02.916.265/0001-60;20575;JBS SA;JBS SA;1953-01-01;Alimentos;FASE OPERACIONAL;PRIVADO;Av. Marginal Direita do Tietê, 500;Bloco 3 - 3o andar;Vila Jaguara;SÃO PAULO;SP;5118100.0;KPMG AUDITORES INDEPENDENTES LTDA.;;www.jbs.com.br;['JBSS3'];True
399;08.294.224/0001-65;20605;JHSF PARTICIPAÇÕES SA;JHSF;2006-06-29;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO HOLDING;Avenida Magalhães de Castro, 4.800 - Continental Tower;27º andar;Cidade Jardim;SÃO PAULO;SP;5502001.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Empresa com atividades em desenvolvimento e administração de projetos multiuso nos setores de (i) Incorporação, (ii) Shoppings, Varejo e Digital, (iii) Hospitalidade e Gastronomia, e (iv) Aeroporto;http://ri.jhsf.com.br/;['JHSF3'];False
400;33.035.536/0001-00;7811;JOAO FORTES ENGENHARIA SA - EM RECUPERAÇÃO JUDICIAL;JOÃO FORTES ENGENHARIA S.A.;1940-10-10;Construção Civil, Mat. Constr. e Decoração;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Av. das Américas, 3443;Bl.3-Loja108;Barra da Tijuca;RIO DE JANEIRO;RJ;22631003.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Incorporação e construção de imóveis execução por administração de obras de construção civil.;www.joaofortes.com.br/ri;['JFEN3'];False
401;87.456.562/0001-22;13285;JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;JOSAPAR S/A;1920-01-01;Alimentos;FASE OPERACIONAL;PRIVADO;Av. Carlos Gomes, 651;5º andar;Boa Vista;PORTO ALEGRE;RS;90480003.0;TATICCA AUDITORES INDEPENDENTES S.S. - EPP;Beneficiamento de Arroz e Participações;http://www.josapar.com.br;['JOPA3', 'JOPA4'];False
402;52.548.435/0001-79;22020;JSL S.A.;JSL S.A.;1969-08-05;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO HOLDING;Rua Doutor Renato Paes de Barros, 1017, Conjunto 91;ED. Corporate Park;Itaim Bibi;SÃO PAULO;SP;4530001.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;;www.jsl.com.br/ri;['JSLG3'];False
404;09.146.451/0001-06;25798;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;;2007-09-27;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Rua João Lourenço 432;Sala 30;Vila Nova Conceição;SÃO PAULO;SP;4508030.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;(a) incorporação, construção e comercialização de empreendimentos imobiliários de qualquer natureza (b) locação de imóveis próprios ou de terceiros (c) participação em outras sociedades.;www.grupokallas.com.br;['KLAS3'];False
406;82.640.558/0001-04;4146;KARSTEN SA;KARSTEN;1933-12-23;Têxtil e Vestuário;FASE OPERACIONAL;PRIVADO;Rua Johann Karsten;nº 260;Testo Salto;BLUMENAU;SC;89074700.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Fabricação, exportação, importação e o comércio atacadista e varejista de fios, tecidos e produtos têxteis em geral.;www.karstensa.com.br;['CTKA3', 'CTKA4'];False
407;91.983.056/0001-69;7870;KEPLER WEBER SA;KEPLER WEBER SA;1935-01-01;Metalurgia e Siderurgia;FASE OPERACIONAL;PRIVADO;Rua do Rócio;nº 84, 3º andar;Vila Olímpia;SÃO PAULO;SP;4552000.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Indústria e comércio de produtos e matérias primas relacionadas a metalurgia, importação e exportação, prestação de serviços, comércio de produtos destinados a agroindústria.;www.kepler.com.br;['KEPL3'];False
408;89.637.490/0001-45;12653;KLABIN S.A.;KLABIN;1978-11-08;Papel e Celulose;FASE OPERACIONAL;PRIVADO;Avenida Brigadeiro Faria Lima, 3600;3°, 4° e 5° andares;Itaim Bibi;SÃO PAULO;SP;4538132.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Empresa brasileira de base florestal. Produtora de papéis e cartões para embalagens, embalagens de papelão ondulado e sacos industriais, além de ser recicladora e produtora de toras para serrarias.;www.klabin.com.br;['KLBN11'];True
409;13.270.520/0001-66;25879;KORA SAÚDE PARTICIPAÇÕES S.A.;;2011-12-08;Serviços Médicos;FASE OPERACIONAL;PRIVADO;Avenida Desembargador Santos Neves;nº 207;Santa Lúcia;VITÓRIA;ES;29056055.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Holding de instituições não financeiras com fim a prestação de serviços de atenção a saúde humana, limpeza, planos de saúde, bem como outras atividades secundárias como aluguel de imóveis.;https://www.korasaude.com.br/;['KRSA3'];False
411;26.462.693/0001-28;25062;LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A;;2016-09-28;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO;Avenida Angélica, 2346;8º andar CJ 84;Bairro Consolação;SÃO PAULO;SP;1228200.0;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;Incorporadora Imobiliária;www.lavvi.com.br;['LAVV3'];False
414;02.357.251/0001-53;24872;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A.;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A.;1997-12-22;Máquinas, Equipamentos, Veículos e Peças;FASE OPERACIONAL;PRIVADO;Rua Giuseppe Mattea;350 A;Fragata;PELOTAS;RS;96050080.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Fabricação de instrumentos não eletronicos e utensilios para uso médico, odontológico e delaboratório;www.lifemed.com.br;['LMED'];False
417;03.378.521/0001-75;19879;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;1999-07-27;Energia Elétrica;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Av.Marechal Floriano;168;Centro;RIO DE JANEIRO;RJ;20080002.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Participação em sociedades p/ exploração serviços de energia elétrica;www.light.com.br;['LIGT3'];False
422;00.743.065/0001-27;15091;LITEL PARTICIPACOES SA;LITEL PARTICIPACOES;1995-10-01;Extração Mineral;FASE OPERACIONAL;PRIVADO;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;RIO DE JANEIRO;RJ;22775003.0;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;;www.litelbrasil.com.br;['LTEL3B'];False
423;05.495.546/0001-84;24759;LITELA PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO;LITELA PARTICIPAÇÕES S.A.;2003-01-30;Extração Mineral;LIQUIDAÇÃO EXTRAJUDICIAL;PRIVADO;Av. Ayrton Senna;3000 - sala 4098;Barra da Tijuca;RIO DE JANEIRO;RJ;22775003.0;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA.;A Cia tem como atividade a participação, sob qualquer forma, no capital de outras sociedades civis ou comerciais. Atualmente, a Cia tem participação somente na Vale S.A.;www.litelabrasil.com.br;['LTLA'];False
427;16.670.085/0001-55;19739;LOCALIZA RENT A CAR SA;LOCALIZA RENT A CAR;1973-09-14;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Avenida Bernardo de Vasconcelos;377;Cachoeirinha;BELO HORIZONTE;MG;31150000.0;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;Aluguel de carros e gestão de frotas;www.localiza.com;['RENT3'];True
428;09.041.168/0001-10;23272;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A.;2007-07-03;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;PRIVADO HOLDING;Av. Professor Mário Werneck, nº 621, 10º andar, BH/MG;Conjunto 02;Estoril;BELO HORIZONTE;MG;30455610.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Administração de bens próprios, prestação de serviços de engenharia e construção.Incorporação, construção comercialização e locação de imóveis.Participação em outras sociedades como sócia ou acionista;http://www.logcp.com.br;['LOGG3'];False
429;42.278.291/0001-24;20710;LOG-IN LOGISTICA INTERMODAL SA;LOG-IN LOGISTICA INTERMODAL SA;1988-07-31;Serviços Transporte e Logística;FASE OPERACIONAL;PRIVADO;Rua do Passeio, 78;12º andar - 1201;Centro;RIO DE JANEIRO;RJ;20021290.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;A Log-In oferece soluções logísticas integradas através do transporte marítimo em navios porta-contêineres, terminal portuário, terminais intermodais e transporte rodoviário de curta distância.;www.loginlogistica.com.br;['LOGN3'];False
430;96.418.264/0218-02;25038;LOJAS QUERO QUERO S.A.;LOJAS QUERO-QUERO S.A.;1967-08-15;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Avenida General Flores da Cunha;nº 1943;Vila Cachoeirinha;CACHOEIRINHA;RS;94910003.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Comércio varejista especializado em material de construção, eletrodomésticos e móveis.;http://www.queroquero.com.br/;['LJQQ3'];False
431;92.754.738/0001-62;8133;LOJAS RENNER SA;RENNER;1965-06-10;Comércio (Atacado e Varejo);FASE OPERACIONAL;PRIVADO;Av. Joaquim Porto Villanova, 401;7º andar;Jardim do Salso;PORTO ALEGRE;RS;91410400.0;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;Loja de Departamentos (Comércio Varejista);http://lojasrenner.mzweb.com.br/;['LREN3'];True
432;02.338.534/0001-58;17434;LONGDIS SA;LONGDIS SA;1997-11-06;Sem Setor Principal;FASE OPERACIONAL;PRIVADO HOLDING;Rua Pascoal Pais, 525;18º, sala Longdis;Vila Cordeiro;SÃO PAULO;SP;4581060.0;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;Participação em outras sociedades.;http://longdis.mzweb.com.br;['SPRT3B'];False
433;08.078.847/0001-09;20370;LPS BRASIL CONSULTORIA DE IMOVEIS S/A;LOPES;2006-05-22;Construção Civil, Mat. Constr. e Decoração;FASE OPERACIONAL;ESTRANGEIRO;Rua Estados Unidos;2000;Jardim América;SÃO PAULO;SP;1427002.0;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;Intermediação na compra, venda, permuta e locação de imóveis ou de direitos e obrigações a eles relativos.;www.lopes.com.br;['LPSB3'];False
434;89.463.822/0001-12;20060;LUPATECH S.A.;LUPATECH;1980-08-01;Máquinas, Equipamentos, Veículos e Peças;EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE;PRIVADO;Rodovia Anhanguera, sentido interior/capital;KM 119, prédio C;Distrito Industrial;NOVA ODESSA;SP;13388220.0;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;Fabricante de equipamentos e provedor de serviços para o setor de Petróleo e Gás.;www.lupatech.com.br;['LUPA3'];False
436;02.351.877/0001-52;24910;LWSA S/A;LWSA S/A;1997-10-29;Comunicação e Informática;FASE OPERACIONAL;PRIVADO;Rua Itapaiúna, 2.434;;Vila Andrade;SÃO PAULO;SP;5707001.0;KPMG AUDITORES INDEPENDENTES LTDA.;;www.lwsa.tech;['LWSA3'];True
